Отметка времени	Тип проблемы	Название продукта	Ссылка на пуш в репе	Комментарий
17.03.2022 19:29:19	Политические лозунги	pre-commit-terraform	https://github.com/antonbabenko/pre-commit-terraform/pull/348/commits/fc190f980a6f0edac571253bce39e288c5d93949	см. условия использования в конце readme
17.03.2022 19:46:15	Политические лозунги	Return youtube dislike api	https://github.com/Anarios/return-youtube-dislike/commit/9f257b354c2a933610fafc7c466af0572eef91bf	;Добавление на главную страницу украинского флага и ссылки на сайт для поддержки украинской армии;; + интересная строка в комментарии одного из разработчиков (https://github.com/Anarios/return-youtube-dislike/graphs/contributors): https://github.com/Anarios/return-youtube-dislike/issues/497 "https://returnyoutubedislikeapi.com/ is blocked in Russia. If you are there, you won't be able to view or submit dislike votes unless you use a proxy or a VPN.", хотя сервис и работает (https://returnyoutubedislikeapi.com/votes?videoId=kxOuG8jMIgI);; Ничего серьёзного про политическую позицию нету;
17.03.2022 20:02:13	Политические лозунги	CoreELEC	https://github.com/CoreELEC/CoreELEC	Замена логотипа в цвета флага Украины
17.03.2022 20:05:23	Политические лозунги	mint	https://github.com/dbarnett/python-helloworld/pull/13	https://uk.wikipedia.org/wiki/%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9_%D0%B2%D0%BE%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D1%80%D0%B0%D0%B1%D0%BB%D1%8C,_%D0%B8%D0%B4%D0%B8_%D0%BD%D0%B0_%D1%85%D1%83%D0%B9
17.03.2022 20:14:58	Политические лозунги	MUI (Material UI)	https://github.com/mui/material-ui/pull/31275	В документации полит. лозунг "STOP RUSSIA'S INVASION OF UKRAINE". https://mui.com/getting-started/installation/
17.03.2022 20:16:43	Политические лозунги	EmotionJS	https://github.com/emotion-js/emotion/pull/2668	В документации полит. лозунг "STOP RUSSIA'S INVASION OF UKRAINE". https://emotion.sh/docs/introduction
17.03.2022 20:19:13	Политические лозунги	ReactJS	https://github.com/facebook/react/pull/23375/commits/11e414ce6c67dc6c3c7e8cf4146af5c39c9c93ea	В документации полит. лозунг "STOP RUSSIA'S INVASION OF UKRAINE". https://ru.reactjs.org
17.03.2022 21:18:35	Политические лозунги	Dash Electrum	https://github.com/akhavr/electrum-dash/commit/80e7bfbc9325f0012dc9c6bd1017cd71de80e2371017cd71de80e237	Разработчик впилил в продукт политические лозунги, сделав их сюрпризом - в логе что в софте нового про это ни слова.
17.03.2022 22:02:57	Ненависть к народу	https://github.com/kbrehme	https://github.com/kbrehme/niffelheim/commit/7cb93ca14aab68c646a65ef21923835a0f791d4a	Человек удаляет все что связано с русским народом в модах и скриптах
17.03.2022 22:28:05	Политические лозунги	https://github.com/search?l=Markdown&q=SWUbanner&type=Code	https://github.com/vshymanskyy/StandWithUkraine#projects-that-standwithukraine	Есть смысл проверить эти проекты
