contributor,repo_with_contributor_PR,contributor_PR,reason_for_inclusion_of_the_contributor_in_the_list,comment_to_the_reason
erkexzcx,https://github.com/erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/pull/152,"Малварь, шифровальщик или иные фатальные угрозы","Х""акерское ПО для проведения DDoS атак, настроенное на инфраструктуру и ресурсы РФ"""
erkexzcx,https://github.com/erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/pull/152,"Малварь, шифровальщик или иные фатальные угрозы","Х""акерское ПО для проведения DDoS атак, настроенное на инфраструктуру и ресурсы РФ"""
erkexzcx,https://github.com/erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/pull/149,"Малварь, шифровальщик или иные фатальные угрозы","Х""акерское ПО для проведения DDoS атак, настроенное на инфраструктуру и ресурсы РФ"""
erkexzcx,https://github.com/erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/pull/151,"Малварь, шифровальщик или иные фатальные угрозы","Х""акерское ПО для проведения DDoS атак, настроенное на инфраструктуру и ресурсы РФ"""
erkexzcx,https://github.com/erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/pull/147,"Малварь, шифровальщик или иные фатальные угрозы","Х""акерское ПО для проведения DDoS атак, настроенное на инфраструктуру и ресурсы РФ"""
erkexzcx,https://github.com/erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/pull/148,"Малварь, шифровальщик или иные фатальные угрозы","Х""акерское ПО для проведения DDoS атак, настроенное на инфраструктуру и ресурсы РФ"""
fzn0x,https://github.com/sequelize/website,https://github.com/sequelize/website/pull/67,Политические лозунги,composer update - выдает в консоли #StandWithUkraine
RIAEvangelist,https://github.com/RIAEvangelist/peacenotwar,https://github.com/RIAEvangelist/peacenotwar/pull/91,"Малварь, шифровальщик или иные фатальные угрозы","В библиотеку node-ipc добавили шифровальщик для ip России и Белоруссии. Оно реально всю фс закидывает сердечками, если ты из России и Беларуси. Причем вручную поставили 25% вероятности в начале таймаута, чтобы эта штука была больше похоже на плавающий баг, чем на что-то намеренное"
uglide,https://github.com/uglide/RedisDesktopManager,https://github.com/uglide/RedisDesktopManager/pull/5221,Политические лозунги,"Политические лозунги в README, политические коммиты с кодом в истории. Создатель - укр."
uglide,https://github.com/uglide/RedisDesktopManager,https://github.com/uglide/RedisDesktopManager/pull/5221,Политические лозунги,"Политические лозунги в README, политические коммиты с кодом в истории. Создатель - укр."
uglide,https://github.com/uglide/RedisDesktopManager,https://github.com/uglide/RedisDesktopManager/pull/5211,Политические лозунги,"Политические лозунги в README, политические коммиты с кодом в истории. Создатель - укр."
Arriven,https://github.com/db1000n-coordinators/LoadTestConfig,https://github.com/db1000n-coordinators/LoadTestConfig/pull/60,инструмент ddos,получает конфиг с ip адресами и начинает флудить трафиком
Arriven,https://github.com/Arriven/db1000n,https://github.com/Arriven/db1000n/pull/488,инструмент ddos,получает конфиг с ip адресами и начинает флудить трафиком
Arriven,https://github.com/db1000n-coordinators/LoadTestConfig,https://github.com/db1000n-coordinators/LoadTestConfig/pull/59,инструмент ddos,получает конфиг с ip адресами и начинает флудить трафиком
erkexzcx,https://github.com/erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/pull/152,"Малварь, шифровальщик или иные фатальные угрозы",Досилка
